build_up_id,match_id,match_name,match_date,team,opponent,scorer,minute,second,period,possession,passes_before_goal,attack_duration_seconds,build_up_type,shot_xg,tournament_stage,tournament_progress_score,finishing_efficiency,goal_event_id,match_stage,play_pattern,start_x,start_y,goal_x,goal_y,shot_x,shot_y
3857259_1,3857259,Cameroon vs Serbia,2022-11-28,Cameroon,Serbia,Jean-Charles Castelletto,28,7,1,52,1,2,Quick attack,0.8945071,Group Stage,1,0.1428571428571428,3857259_1,Group Stage,From Corner,120.0,0.1,118.5,43.2,118.5,43.2
3857259_2,3857259,Cameroon vs Serbia,2022-11-28,Serbia,Cameroon,Strahinja Pavlović,45,22,1,80,1,2,Quick attack,0.07892812,Group Stage,1,0.15625,3857259_2,Group Stage,From Free Kick,86.0,26.7,110.7,42.8,110.7,42.8
3857259_3,3857259,Cameroon vs Serbia,2022-11-28,Serbia,Cameroon,Sergej Milinković-Savić,47,52,1,83,3,14,Medium build-up,0.058657028,Group Stage,1,0.15625,3857259_3,Group Stage,From Throw In,64.7,0.1,99.6,46.7,99.6,46.7
3857259_4,3857259,Cameroon vs Serbia,2022-11-28,Serbia,Cameroon,Aleksandar Mitrović,52,26,2,105,4,7,Medium build-up,0.8974681,Group Stage,1,0.15625,3857259_4,Group Stage,Regular Play,95.5,27.8,113.6,40.2,113.6,40.2
3857259_5,3857259,Cameroon vs Serbia,2022-11-28,Cameroon,Serbia,Vincent Paté Aboubakar,62,52,2,122,4,20,Medium build-up,0.28323865,Group Stage,1,0.1428571428571428,3857259_5,Group Stage,From Goal Kick,6.0,44.0,104.4,49.0,104.4,49.0
3857259_6,3857259,Cameroon vs Serbia,2022-11-28,Cameroon,Serbia,Jean-Eric Maxim Choupo-Moting,65,25,2,124,2,6,Quick attack,0.46942416,Group Stage,1,0.1428571428571428,3857259_6,Group Stage,From Counter,40.5,48.9,111.0,37.0,111.0,37.0
3857295_1,3857295,Japan vs Costa Rica,2022-11-27,Costa Rica,Japan,Keysher Fuller Spence,80,8,2,143,1,2,Quick attack,0.120298475,Group Stage,1,0.1818181818181818,3857295_1,Group Stage,Regular Play,92.3,47.7,102.6,47.5,102.6,47.5
3857283_1,3857283,Belgium vs Morocco,2022-11-27,Morocco,Belgium,Romain Saïss,72,37,2,128,1,1,Quick attack,0.56495196,Semi Final,4,0.1363636363636363,3857283_1,Group Stage,From Free Kick,114.1,3.6,118.0,36.4,118.0,36.4
3857283_2,3857283,Belgium vs Morocco,2022-11-27,Morocco,Belgium,Zakaria Aboukhlal,91,51,2,156,4,12,Medium build-up,0.18104906,Semi Final,4,0.1363636363636363,3857283_2,Group Stage,From Goal Kick,6.0,36.0,110.3,46.8,110.3,46.8
3857284_1,3857284,Germany vs Japan,2022-11-23,Germany,Japan,İlkay Gündoğan,32,35,1,56,0,0,Quick attack,0.7835,Group Stage,1,0.088235294117647,3857284_1,Group Stage,Other,108.0,40.0,108.0,40.0,108.0,40.0
