build_up_id,match_id,match_date,match_label,team,goal_player,goal_minute,goal_second,period,possession,play_pattern,passes_before_goal,duration_seconds,start_x,start_y,goal_x,goal_y
3869219_1,3869219,2022-12-05,Japan vs Croatia,Japan,Daizen Maeda,42,54,1,60,From Corner,4,7,120.0,80.0,113.5,44.3
3869219_2,3869219,2022-12-05,Japan vs Croatia,Croatia,Ivan Perišić,54,54,2,87,Regular Play,16,52,32.6,54.6,106.0,34.1
3869219_3,3869219,2022-12-05,Japan vs Croatia,Croatia,Nikola Vlašić,120,43,5,226,Other,0,0,108.1,40.1,108.1,40.1
3869219_4,3869219,2022-12-05,Japan vs Croatia,Croatia,Marcelo Brozović,121,52,5,228,Other,0,0,108.1,40.1,108.1,40.1
3869219_5,3869219,2022-12-05,Japan vs Croatia,Japan,Takuma Asano,122,33,5,229,Other,0,0,108.1,40.1,108.1,40.1
3869219_6,3869219,2022-12-05,Japan vs Croatia,Croatia,Mario Pašalić,124,28,5,232,Other,0,0,108.1,40.1,108.1,40.1
3869253_1,3869253,2022-12-05,Brazil vs South Korea,Brazil,Vinícius José Paixão de Oliveira Júnior,6,41,1,13,From Free Kick,13,49,40.5,54.3,110.0,29.9
3869253_2,3869253,2022-12-05,Brazil vs South Korea,Brazil,Neymar da Silva Santos Junior,12,18,1,17,Other,0,0,108.0,40.0,108.0,40.0
3869253_3,3869253,2022-12-05,Brazil vs South Korea,Brazil,Richarlison de Andrade,28,13,1,46,From Corner,6,30,93.4,32.1,110.7,43.3
3869253_4,3869253,2022-12-05,Brazil vs South Korea,Brazil,Lucas Tolentino Coelho de Lima,35,45,1,55,From Throw In,6,20,10.9,0.1,110.0,44.8
3869253_5,3869253,2022-12-05,Brazil vs South Korea,South Korea,Seung-Ho Paik,75,47,2,136,From Free Kick,0,3,89.5,66.9,93.7,39.8
3869152_1,3869152,2022-12-04,France vs Poland,France,Olivier Giroud,43,28,1,73,From Throw In,11,26,94.8,80.0,105.6,32.3
3869152_2,3869152,2022-12-04,France vs Poland,France,Kylian Mbappé Lottin,73,56,2,121,Regular Play,4,16,8.8,39.3,104.8,28.6
3869152_3,3869152,2022-12-04,France vs Poland,France,Kylian Mbappé Lottin,90,5,2,143,Regular Play,8,23,51.8,22.2,106.2,25.2
3869152_4,3869152,2022-12-04,France vs Poland,Poland,Robert Lewandowski,98,36,2,152,Other,0,0,108.0,40.0,108.0,40.0
3869117_1,3869117,2022-12-03,Netherlands vs United States,Netherlands,Memphis Depay,9,31,1,20,Regular Play,21,63,80.5,25.7,104.9,43.7
3869117_2,3869117,2022-12-03,Netherlands vs United States,Netherlands,Daley Blind,45,36,1,72,From Throw In,4,9,106.1,80.0,107.6,38.5
3869117_3,3869117,2022-12-03,Netherlands vs United States,United States,Haji Wright,75,20,2,125,From Corner,4,6,82.4,48.5,115.1,45.2
3869117_4,3869117,2022-12-03,Netherlands vs United States,Netherlands,Denzel Dumfries,80,28,2,137,From Keeper,8,27,15.0,34.8,113.5,44.3
3857270_1,3857270,2022-11-28,Portugal vs Uruguay,Portugal,Bruno Miguel Borges Fernandes,53,40,2,94,Regular Play,14,42,7.3,40.0,99.4,14.6
3857270_2,3857270,2022-11-28,Portugal vs Uruguay,Portugal,Bruno Miguel Borges Fernandes,92,19,2,161,Other,0,0,108.0,40.0,108.0,40.0
3857263_1,3857263,2022-11-27,Spain vs Germany,Spain,Álvaro Borja Morata Martín,61,33,2,131,From Goal Kick,16,44,7.0,36.1,113.2,34.3
3857263_2,3857263,2022-11-27,Spain vs Germany,Germany,Niclas Füllkrug,82,25,2,169,From Counter,2,5,79.5,75.6,110.8,51.9
3857259_1,3857259,2022-11-28,Cameroon vs Serbia,Cameroon,Jean-Charles Castelletto,28,7,1,52,From Corner,1,2,120.0,0.1,118.5,43.2
3857259_2,3857259,2022-11-28,Cameroon vs Serbia,Serbia,Strahinja Pavlović,45,22,1,80,From Free Kick,1,2,86.0,26.7,110.7,42.8
3857259_3,3857259,2022-11-28,Cameroon vs Serbia,Serbia,Sergej Milinković-Savić,47,52,1,83,From Throw In,3,14,64.7,0.1,99.6,46.7
3857259_4,3857259,2022-11-28,Cameroon vs Serbia,Serbia,Aleksandar Mitrović,52,26,2,105,Regular Play,4,7,95.5,27.8,113.6,40.2
3857259_5,3857259,2022-11-28,Cameroon vs Serbia,Cameroon,Vincent Paté Aboubakar,62,52,2,122,From Goal Kick,4,20,6.0,44.0,104.4,49.0
3857259_6,3857259,2022-11-28,Cameroon vs Serbia,Cameroon,Jean-Eric Maxim Choupo-Moting,65,25,2,124,From Counter,2,6,40.5,48.9,111.0,37.0
3857295_1,3857295,2022-11-27,Japan vs Costa Rica,Costa Rica,Keysher Fuller Spence,80,8,2,143,Regular Play,1,2,92.3,47.7,102.6,47.5
3857283_1,3857283,2022-11-27,Belgium vs Morocco,Morocco,Romain Saïss,72,37,2,128,From Free Kick,1,1,114.1,3.6,118.0,36.4
3857283_2,3857283,2022-11-27,Belgium vs Morocco,Morocco,Zakaria Aboukhlal,91,51,2,156,From Goal Kick,4,12,6.0,36.0,110.3,46.8
3857284_1,3857284,2022-11-23,Germany vs Japan,Germany,İlkay Gündoğan,32,35,1,56,Other,0,0,108.0,40.0,108.0,40.0
3857284_2,3857284,2022-11-23,Germany vs Japan,Japan,Ritsu Doan,74,46,2,141,From Throw In,12,48,38.3,80.0,112.1,41.5
