match_id,match_label,team,opponent,possession,formation,player,period,minute,second,shot_type,shot_context,is_penalty_shootout,is_standard_shot,shot_outcome,is_goal,shot_xg,play_pattern,passes_before_shot,pass_category,duration_seconds,players_involved,start_x,start_y,start_zone,shot_x,shot_y,entry_method,passes_to_entry,time_to_entry,fast_entry_before_shot
3857255,Japan vs Spain,Spain,Japan,54,433,Daniel Olmo Carvajal,1,41,54,Open Play,Open play / other,False,False,Blocked,0,0.10385344,From Goal Kick,31,10+,121.0,11,7.0,36.1,Defensives Drittel,102.8,35.2,Langer Pass,20.0,77.0,False
3857255,Japan vs Spain,Japan,Spain,66,343,Ritsu Doan,2,47,48,Open Play,Open play / other,False,False,Goal,1,0.027777622,Regular Play,1,0-3,4.0,2,93.0,70.1,Offensives Drittel,100.5,55.8,Bereits im offensiven Drittel,0.0,0.0,True
3857255,Japan vs Spain,Japan,Spain,69,343,Ao Tanaka,2,50,14,Open Play,Free kick,False,True,Goal,1,0.87261814,From Free Kick,5,4-6,13.0,5,25.6,10.6,Defensives Drittel,118.7,40.2,Langer Pass,1.0,0.0,True
3857255,Japan vs Spain,Japan,Spain,97,343,Takuma Asano,2,69,50,Open Play,Open play / other,False,False,Off T,0,0.13121767,From Counter,1,0-3,7.0,2,36.0,15.8,Defensives Drittel,100.5,36.3,Carry,0.0,0.0,True
3857255,Japan vs Spain,Spain,Japan,102,433,Marco Asensio Willemsen,2,73,12,Open Play,Throw-in,False,True,Blocked,0,0.016301522,From Throw In,17,10+,48.0,10,100.0,80.0,Offensives Drittel,104.8,23.5,Kurzer Pass,3.0,5.0,True
3857255,Japan vs Spain,Spain,Japan,109,433,Daniel Olmo Carvajal,2,79,18,Open Play,Throw-in,False,True,Blocked,0,0.01649772,From Throw In,23,10+,65.0,9,91.6,80.0,Offensives Drittel,86.3,46.3,Kurzer Pass,5.0,9.0,True
3857255,Japan vs Spain,Japan,Spain,112,343,Ko Itakura,2,82,21,Open Play,Free kick,False,True,Saved,0,0.0504811,From Free Kick,1,0-3,1.0,2,91.9,10.8,Offensives Drittel,104.0,39.0,Bereits im offensiven Drittel,0.0,0.0,True
3857255,Japan vs Spain,Spain,Japan,119,433,Marco Asensio Willemsen,2,84,30,Open Play,Open play / other,False,False,Blocked,0,0.02842248,Regular Play,15,10+,51.0,9,25.5,33.6,Defensives Drittel,96.8,52.1,Carry,3.0,11.0,True
3857255,Japan vs Spain,Spain,Japan,121,433,Jordi Alba Ramos,2,88,28,Open Play,Throw-in,False,True,Blocked,0,0.0241939,From Throw In,30,10+,111.0,10,95.4,80.0,Offensives Drittel,97.9,27.0,Kurzer Pass,8.0,20.0,False
3857255,Japan vs Spain,Spain,Japan,121,433,Marco Asensio Willemsen,2,88,49,Open Play,Throw-in,False,True,Saved,0,0.007735879,From Throw In,34,10+,132.0,10,95.4,80.0,Offensives Drittel,94.8,61.9,Kurzer Pass,8.0,20.0,False
3857255,Japan vs Spain,Spain,Japan,121,433,Daniel Olmo Carvajal,2,89,8,Open Play,Throw-in,False,True,Saved,0,0.12373556,From Throw In,39,10+,151.0,10,95.4,80.0,Offensives Drittel,111.0,52.0,Kurzer Pass,8.0,20.0,False
3857255,Japan vs Spain,Spain,Japan,130,433,Daniel Olmo Carvajal,2,95,29,Open Play,Throw-in,False,True,Off T,0,0.008523117,From Throw In,21,10+,62.0,9,34.5,0.1,Defensives Drittel,94.2,57.0,Kurzer Pass,5.0,15.0,True
3857272,England vs United States,England,United States,16,4231,Harry Kane,1,9,11,Open Play,Throw-in,False,True,Blocked,0,0.10607713,From Throw In,13,10+,30.0,8,93.4,80.0,Offensives Drittel,108.9,42.6,Kurzer Pass,11.0,24.0,False
3857272,England vs United States,England,United States,17,4231,John Stones,1,9,56,Open Play,Corner,False,True,Wayward,0,0.04222343,From Corner,1,0-3,2.0,2,120.0,80.0,Offensives Drittel,109.2,38.6,Bereits im offensiven Drittel,0.0,0.0,True
3857272,England vs United States,England,United States,17,4231,Mason Mount,1,10,8,Open Play,Corner,False,True,Off T,0,0.019677445,From Corner,1,0-3,14.0,5,120.0,80.0,Offensives Drittel,94.2,27.2,Bereits im offensiven Drittel,0.0,0.0,True
